,step,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud,type_CASH_IN,type_CASH_OUT,type_DEBIT,type_PAYMENT,type_TRANSFER
6322570,688,23557.12,8059.0,31616.12,169508.66,145951.53,0,1,0,0,0,0
3621196,274,6236.13,0.0,0.0,0.0,0.0,0,0,0,0,1,0
1226256,133,33981.87,18745.72,0.0,0.0,0.0,0,0,0,0,1,0
2803274,225,263006.42,20072.0,0.0,390253.56,653259.98,0,0,1,0,0,0
3201247,249,152013.74,20765.0,0.0,252719.19,404732.93,0,0,1,0,0,0
3681019,276,2854.62,0.0,0.0,0.0,0.0,0,0,0,0,1,0
1351584,137,336874.19,201316.0,0.0,20820.92,357695.11,0,0,1,0,0,0
5422829,378,520230.74,0.0,0.0,540059.79,1060290.53,0,0,1,0,0,0
5870912,403,51179.09,8278679.08,8329858.17,602965.54,551786.46,0,1,0,0,0,0
2400263,202,735977.55,8900.0,0.0,0.0,735977.55,0,0,0,0,0,1
5515385,380,112606.21,0.0,0.0,151260.04,263866.25,0,0,1,0,0,0
4826317,346,99203.7,22297.0,0.0,0.0,99203.7,0,0,1,0,0,0
2635402,209,321631.56,6611197.56,6932829.13,1103286.62,781655.06,0,1,0,0,0,0
2984544,231,408320.59,995.0,409315.59,1397750.17,989429.58,0,1,0,0,0,0
4049948,300,22950.32,153400.54,130450.21,0.0,0.0,0,0,0,0,1,0
283498,15,151878.25,269539.0,117660.75,349458.57,501336.82,0,0,0,0,0,1
299855,15,10315.59,51275.0,40959.41,0.0,0.0,0,0,0,0,1,0
2924974,229,29748.71,171.0,0.0,0.0,0.0,0,0,0,0,1,0
1230984,133,180171.05,56503.0,0.0,257898.04,438069.1,0,0,1,0,0,0
3430796,256,9746.91,91401.09,81654.17,0.0,0.0,0,0,0,0,1,0
1755385,161,7810.53,2146.0,0.0,0.0,0.0,0,0,0,0,1,0
3510600,259,3816.49,115421.0,111604.51,0.0,0.0,0,0,0,0,1,0
1104832,130,3144.66,21028.0,17883.34,0.0,0.0,0,0,0,0,1,0
4714526,332,14025.33,205423.0,191397.67,0.0,0.0,0,0,0,0,1,0
3424982,256,52611.0,12433.0,0.0,1941074.35,1993685.35,0,0,1,0,0,0
4405691,321,613.52,0.0,0.0,271995.91,272609.43,0,0,1,0,0,0
1689002,159,30059.5,3383962.8,3414022.3,146820.71,116761.21,0,1,0,0,0,0
5733885,399,17467.54,23423.0,5955.46,0.0,0.0,0,0,0,0,1,0
3270517,251,55541.86,6606589.94,6662131.81,238275.14,182733.28,0,1,0,0,0,0
5015424,353,526433.45,0.0,0.0,2301842.66,2828276.12,0,0,1,0,0,0
4463247,323,270140.05,55583.0,0.0,465864.82,736004.86,0,0,1,0,0,0
1880266,164,5314.4,0.0,0.0,0.0,0.0,0,0,0,0,1,0
1917953,166,148119.76,0.0,0.0,367486.09,515605.84,0,0,1,0,0,0
4312237,308,249621.69,7212841.63,7462463.33,293364.3,43742.61,0,1,0,0,0,0
4964777,351,22707.57,96454.2,73746.63,108917.95,131625.52,0,0,1,0,0,0
2203349,185,113979.0,0.0,0.0,1309209.48,1423188.48,0,0,1,0,0,0
3535014,259,6233.56,203547.28,197313.72,0.0,0.0,0,0,0,0,1,0
6316523,687,521.93,0.0,0.0,2436182.48,2436704.41,0,0,1,0,0,0
1299327,136,4782.12,278528.38,273746.27,0.0,0.0,0,0,0,0,1,0
6260972,608,153891.95,28903.0,182794.95,9755436.66,9601544.71,0,1,0,0,0,0
2426042,202,22144.44,131566.9,109422.46,0.0,0.0,0,0,0,0,1,0
4534318,326,21024.92,8697.32,0.0,0.0,0.0,0,0,0,0,1,0
2893138,228,84680.97,10127.0,0.0,2391090.97,2475771.93,0,0,1,0,0,0
3626509,274,14097.72,34188.0,48285.72,5660142.72,5646045.0,0,1,0,0,0,0
4164446,304,499699.66,0.0,0.0,1605487.3,2105186.96,0,0,1,0,0,0
298768,15,3542.11,0.0,0.0,0.0,0.0,0,0,0,0,1,0
1370158,138,43160.22,115388.0,158548.22,255844.11,212683.89,0,1,0,0,0,0
1441085,140,9082.58,0.0,0.0,0.0,0.0,0,0,0,0,1,0
4890424,349,73696.14,101057.0,27360.86,711575.48,785271.62,0,0,1,0,0,0
2738102,212,34236.84,0.0,0.0,1206089.72,1128913.34,0,0,1,0,0,0
5278456,372,14525.7,0.0,0.0,0.0,0.0,0,0,0,0,1,0
149169,12,14435.97,0.0,0.0,0.0,0.0,0,0,0,0,1,0
357508,17,239373.48,291201.0,51827.52,767204.51,1006577.99,0,0,1,0,0,0
5689401,397,322661.14,402.0,0.0,6991.16,329652.3,0,0,1,0,0,0
5404673,377,205306.34,0.0,0.0,6012740.15,6218046.49,0,0,1,0,0,0
2325850,188,41461.87,15198725.03,15240186.9,1914863.7,1873401.83,0,1,0,0,0,0
5849988,402,60029.69,0.0,0.0,2868817.21,2928846.89,0,0,1,0,0,0
3449442,257,91340.04,855341.83,946681.87,442177.98,350837.93,0,1,0,0,0,0
3237213,250,133664.48,1700606.05,1834270.53,167014.99,33350.51,0,1,0,0,0,0
5607879,394,49593.04,45647.0,0.0,0.0,49593.04,0,0,1,0,0,0
6360097,715,549845.97,12802.0,0.0,4331424.66,4881270.62,0,0,0,0,0,1
5381795,376,217624.8,0.0,0.0,1749898.31,1967523.11,0,0,1,0,0,0
